1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,target
6.273003,1.5754591,0.16914311,0.0,2.2727337,0.0,3.688399,2.6304975,6.167072,3.975453,1.101135,2.5560176,4.3486137,0.0380852,0.146211,0.0,0.35861325,2.536118,2.1598432,2.2289147,2.1083405,6.0319743,0.0,0.0,0.0,2.5289383,2.7677956,0.26173106,2.9285145,0.42991236,0.062246762,6.0097136,1.4205058,1.5748031,2.4645647999999998,3.3365953,1.9779658,0.0,0.0,4.524893,3.092094,0.0,1.8962603,2.0556908,4.380083,0.0,1.1212246,1.3731892,0.067120485,0.0,0
5.41684,4.1388535,0.30063102,0.0,0.0,0.0,4.214606,3.2612126,3.9872112,2.7393131,0.0,1.7597203,3.1863132,0.21205123,0.0,0.0,0.0,2.647737,0.0,3.8653798,1.0458405,6.2153835,0.0,0.0,0.0,0.0,0.2095424,0.0,3.2897575,0.0,2.0030954,2.9405265,3.5041895,1.1112654,0.9237835,1.5452753,3.576313,0.0,0.0,1.8463207,1.0552069,1.5889568,0.00790611,0.048837535,2.1171024,0.0,2.7591767,0.020448016,3.1684966,0.0,0
7.5970864,3.00312,0.0,0.0,3.0674403,0.0,4.4072843,4.695577,7.1642547,1.4588569,0.0,2.250438,4.1728706,1.3338834,0.0,0.0,0.0,3.5920217,1.0805951,4.4551764,0.6357432,8.643835,0.0,0.0,0.0,1.159479,3.1823058,0.0,8.047903,0.0,0.0,6.466971,2.826885,3.818631,2.7243059,2.9539247,3.7261178,0.0,0.74632895,4.5307446,2.5731318,0.0,1.8639677,2.1295867,5.4080005,0.0,3.3218784,0.0,2.471155,0.78300315,0
5.471565,4.307847,0.23833439,0.0,0.0,0.0,4.038743,3.9192722,4.0008116,2.1548965,0.0,1.6197177,2.3427193,0.0,0.0,0.0,0.0,3.8304968,0.0,4.5558186,0.0,6.7265005,0.0,0.0,0.0,0.0,0.0,0.0,3.7240376,0.0,2.5967748,2.1660407,3.7902656,0.8598384,1.1245536,1.5566462,4.48432,0.0,0.0,0.49102387,0.49942523,1.8185523,0.9349552,0.0,0.96779156,0.0,3.2266436,0.0,3.3706684,0.344437,0
4.759031,2.9924247,0.098438054,0.0,0.0,0.0,3.7371473,3.2125838,3.2500765,1.8724796,0.0,0.91386014,2.6999898,0.0,0.0,0.0,0.0,2.9601772,0.0,2.9583228,0.538474,4.6041555,0.0,0.0,0.0,0.0,0.19059184,0.0,2.0082452,0.0,2.6764026,2.1033947,2.4955442,1.4178439,0.8767859,1.8589052,2.9735909,0.0,0.0,0.37401664,0.03773373,0.75876075,1.0133333,0.0,0.47562644,0.0,2.6624777,0.0,2.2713318,0.16616769,0
5.5332665,3.4554763,0.086472064,0.0,0.7621674,0.0,4.2193418,3.23439,4.1951423,2.3669424,0.0,0.9102615,4.0426683,0.43063155,0.0,0.0,0.0,2.9609213,0.14231803,3.2504828,1.2884583,5.2739544,0.0,0.0,0.0,0.0,0.59947383,0.0,2.1985085,0.12958778,2.8160036,3.401408,2.6808274,1.8750733,1.0159794,2.0631275,2.7408228,0.0,0.0,1.6737137,1.0558674,0.9057063,0.445364,0.0,1.4918864,0.0,2.851462,0.1513932,3.0002935,0.0,0
6.187104,3.344849,0.2765173,0.0,0.36446846,0.0,4.782656,3.8054802,4.5724072,2.5005498,0.0,0.72994727,4.570856,0.23657236,0.0,0.0,0.0,3.2379313,0.0802743,3.438042,1.2541958,5.668651,0.0,0.0,0.0,0.0,0.40595496,0.0,2.1523323,0.0,2.9188828,3.0778,2.5811143,1.789857,1.6312675,1.8317612,3.2302752,0.0,0.0,1.6853213,1.0566941,0.97166824,0.25237688,0.0,1.5189909,0.0,3.0132415,0.0,2.7743237,0.0,0
10.11929,4.7266703,0.16684249,0.0,1.6725346,0.0,8.673975,6.848228,10.358252,2.4839644,0.0,0.66912943,8.665092,1.7854809,0.0,0.060925324,0.0,6.0281286,0.23709293,5.4252586,2.7041404,9.344538,0.0,0.0,0.0,0.4373086,1.0253673,0.0,4.883822,0.1442455,4.127661,5.246721,3.1232815,4.186726,2.8506088,3.3584514,5.566155,0.0,0.0,4.0017424,3.325975,0.0,0.13512221,0.0,4.001708,0.0,5.6091084,0.0,5.3314586,0.0,0
9.402081,5.7578583,0.38460246,0.0,0.76704705,0.0,7.613416,5.3075347,6.77386,5.4598217,0.015933044,0.9039276,6.8872046,0.9037994,0.499581,0.0,0.0,4.4158525,0.051843,5.442022,3.3975484,9.494115,0.0,0.0,0.0,0.21902595,0.56556803,0.0,4.6731853,0.0,3.2363133,4.4870224,4.467349,2.7497773,2.4755177,3.611891,4.488561,0.0,0.0,4.420421,3.1975255,1.2099148,0.0,0.0,4.697294,0.0,4.649778,0.0,4.501647,0.0,0
6.184586,2.1894794,2.4131825,0.0,1.8469124,0.0,4.5233583,3.260804,9.106382,3.0420425,0.0,1.5567902,5.0936837,2.8094385,0.0,0.0,0.7948126,3.5119836,1.989516,4.2506895,1.9604105,5.717242,0.0,0.0,0.0,2.129037,1.1671677,0.0,3.890058,0.0,0.0,5.816833,0.48341522,2.6992798,1.3449717,1.1255038,2.3887007,0.0,0.065823615,6.459319,3.3203707,0.0,0.100687936,1.0014307,6.405761,0.0,2.6065295,0.0,2.3265808,0.0,0
6.488938,1.7972155,0.7415388,0.0,0.47438487,0.0,4.7024837,3.3164809,6.3002505,2.4574437,0.0,1.114199,3.4144995,0.67819387,0.0,0.0,0.45606357,4.325238,0.37642032,3.3034325,0.0,5.5185065,0.0,0.0,0.0,0.57488996,0.99189353,0.0,4.2960486,0.0,1.148095,4.8214526,1.865654,2.1058087,1.4882468,2.0664384,3.1383867,0.0,0.0,2.5723858,0.67536527,0.0,1.5727085,0.47018296,2.7820647,0.0,3.153815,0.0,1.9729774,0.073830105,0
10.2608795,2.9377449,3.69487,0.0,4.764498,0.0,6.5376697,2.3674145,14.68027,11.408758,5.535348,10.555428,9.832927,4.5190825,0.70492876,0.0,0.0,1.5392137,7.0468917,3.980463,6.90273,13.344413,0.0,0.0,0.0,6.1448307,3.4305267,0.0,6.099718,0.0,0.0,14.8442,5.441141,2.6252782,3.6448987,3.9522657,4.0519238,0.0,0.0,15.648378,9.09122,0.0,2.0034616,4.802712,17.188753,0.0,1.7219322,0.0,0.0,0.0,0
